:			Group	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Black	Dot	ID	Sex	fmal	fmal	fmal	fmar	fmar	fmar	fmtl	fmtl	fmtl	glb	glb	glb	nas	nas	nas	
Darkorange	Dot	277	1	72,1151	-154,3203	342,1507	92,611	-249,2966	341,5149	66,6528	-151,9246	338,1864	63,5161	-207,2469	356,3864	69,804	-206,1611	356,5925	
Darkorange	Dot	278	1	75,3807	-153,9891	349,4476	84,942251	-253,500593	342,739849	74,1439	-152,3378	344,9723	62,3476	-206,8969	364,5457	69,9879	-205,753	363,861	
Darkorange	Dot	279	1	93,7925	-146,5406	358,1639	112,0372	-242,0859	356,574	88,7899	-145,4739	356,5542	88,2207	-198,0427	378,7586	97,1403	-196,3859	375,6508	
Darkorange	Dot	280	1	90,4287	-148,0949	360,3586	120,7759	-248,1247	361,1791	87,1973	-147,5863	355,7219	86,9411	-202,4768	377,9734	95,1436	-200,5549	376,492	
Darkorange	Dot	281	1	96,8231	-148,5469	344,781	117,9579	-245,4819	339,401	92,4025	-146,3746	341,2295	92,2447	-199,8074	362,6423	98,5427	-199,0367	360,6224	
Darkorange	Dot	283	1	83,3458	-148,075	359,8191	108,1951	-245,9476	354,9214	79,0955	-145,5205	355,1838	84,8335	-198,8486	375,1802	92,208	-196,9478	369,9027	
Darkorange	Dot	284	1	77,9367	-147,7481	356,7826	101,0726	-244,0456	349,3644	73,3035	-148,3403	351,2838	81,0953	-199,7639	380,2125	88,3236	-197,6943	374,8817	
Darkorange	Dot	287	1	71,8125	-139,104	351,6879	108,0593	-241,8304	347,8715	69,029	-137,8149	347,9391	77,1977	-195,3532	374,3472	86,2305	-194,555	372,4702	
Darkorange	Dot	288	1	82,9548	-154,5289	356,7237	117,5628	-238,9129	352,1233	80,5348	-152,6864	353,9726	93,1954	-198,903	376,4417	98,3391	-198,4649	373,6065	
Darkorange	Dot	289	1	76,9546	-143,9339	347,645	106,7193	-238,9636	343,4198	74,9943	-142,5651	343,5688	78,2635	-198,9308	365,8171	86,6415	-195,7228	363,8335	
Darkorange	Dot	290	1	40,9098	-164,7618	354,1166	39,7257	-271,2705	350,3849	36,0179	-162,2872	349,8165	26,6867	-220,3892	372,4991	32,9438	-219,842	370,2457	
Darkorange	Dot	293	1	32,1428	-168,0098	356,6896	33,2623	-261,3208	352,1514	31,6615	-164,0797	352,6307	14,0841	-216,3545	371,3823	26,0931	-216,4312	368,3675	
Darkorange	Dot	295	1	40,5497	-157,0825	349,7343	44,5641	-253,8811	349,8561	36,8097	-154,2661	346,273	25,9702	-206,5914	369,4115	34,323	-206,1161	366,1648	
